uid-bsj-738	baroque-de-heem-still-life	Baroque Fruit Still Life (De Heem Study)	Graphic Designer;Creative Director	Generative AI;Art Direction;Illustration;Print Design;Adobe Creative Cloud;Photography	Digital Art Collection;Art Print	Freelance	6	3	0	0	1	14	null	null	Produced a six-piece collection of high-resolution baroque still life prints tha	171	Rotating still life images evoking baroque painting: deep chiaroscuro, abundance	Baroque fruit still life compositions inspired by Jan Davidsz de Heem with lumin
uid-cap-258	advanced-animation-system	Maximalist Lottie Animation System	Graphic Designer;Motion Designer	After Effects;Animation;Illustration;Lottie	Animation	Freelance	4	3	5	0	0	0	null	null	The animation system produces rich, maximalist motion graphics that load instant	0	Maximalist hand-drawn illustrations with Lottie animation system showing detaile	Hand-drawn illustration detail and Lottie animation layer composition
uid-ccp-818	influencer-growth-strategy	Data-Driven Influencer Growth Strategy	Content Strategist;Growth Strategist	Analytics;Campaign Management;Content Production;Social Media Marketing	Marketing Campaign	Freelance	5	3	0	0	1	21	null	null	The growth strategy provided a clear, measurable roadmap from current audience s	0	Influencer growth strategy pitch deck showing audience analytics, content calend	Social media growth strategy slides with data visualizations and audience analys
uid-chp-854	embeddings-art-curation	CLIP Embeddings for Automated Art Curation	AI & Automation Strategist;Creative Director	Data Visualization;Generative AI;Python	Digital Art Collection	Freelance	5	3	0	0	0	0	null	null	The embedding analysis revealed that neural models do capture meaningful visual 	0	CLIP embeddings visualization showing PCA-reduced artwork similarity clusters an	Neural embedding space visualizations for automated art discovery and curation
uid-cop-802	illustrated-poetry-book	LGBTQ Illustrated Poetry Collection	Creative Director;Graphic Designer	Art Direction;Generative AI;Illustration;Print Design	Print	Freelance	5	3	0	0	0	0	null	null	The completed collection demonstrates that digital illustration workflows can pr	0	LGBTQ illustrated poetry book pages showing digital illustrations with poetic te	Poetry book spread illustrations with LGBTQ themes and mixed-media digital artwo
uid-cpp-781	public-health-response-platform	Hawaii COVID-19 Response Communications Platform	Content Strategist;Web Developer	Analytics;Content Production;HTML/CSS/JS;Responsive Design	Web Application	Freelance	6	3	0	0	0	0	null	null	The platform served as a critical public health resource for the Hawaii COVID-19	0	Hawaii COVID-19 Taskforce communications platform showing public health dashboar	Public health response platform dashboard and communications interface for COVID
uid-dff-987	automated-e-commerce-shop-lookbook	800+ Product Store with Automated CMS Management	AI & Automation Strategist;Brand Designer;Content Strategist;Web Developer	Automation;CMS Management;Content Production;Creative Cloud;E-Commerce;Generative AI;Git;HTML/CSS/JS;Landing Page Design;Make.com;Notion;Publishing;Python;Scaling Systems;Typography;Webflow	E-Commerce Store;CMS Site	Freelance	6	3	0	0	1	6	null	null	The automation eliminated manual data entry for 800+ products and reduced invent	369	Fully automated Webflow e-commerce system with 800+ products managed through Mak	Automated e-commerce storefront screenshots showing product catalog, fashion loo
uid-eme-689	modular-portfolio-build	Modular Portfolio System for AI-Assisted Development	Web Developer	Git;GitHub Pages;HTML/CSS/JS;Jekyll;Publishing;Scaling Systems;Typography	Portfolio;Website	Freelance	6	3	0	0	0	0	null	null	Successfully built and maintained a comprehensive portfolio spanning technical, 	374	Screenshots of a website demonstrating tag-based navigation and modular componen	Portfolio system screenshots showing tag-based navigation, modular component car
uid-enm-522	surreal-constructivism-perception	Currents of Perception	Graphic Designer;Creative Director	Generative AI;Art Direction;Illustration;Print Design;Adobe Creative Cloud	Digital Art Collection;Art Print	Freelance	4	3	0	0	0	0	null	null	Produced a cohesive series of abstract landscape prints that read clearly at gri	171	A generative journey through perceptual dimensions with geometric abstractions c	Geometric constructivist landscape abstractions with vivid color fields and emer
uid-evn-680	constructivist-profiles	Profile People	Graphic Designer;Creative Director	Generative AI;Art Direction;Illustration;Print Design;Adobe Creative Cloud	Digital Art Collection;Art Print	Freelance	6	3	0	0	0	0	null	null	Produced a cohesive collection of geometric portraits that read instantly as thu	171	Angular geometric portraits with bold color blocks and sharp constructivist form	Geometric head and shoulder profile portraits rendered with constructivist sharp
